,Driver,TeamId,Quali_vs_Teammate,Race,Year,Best_Pace_seconds,Practice_Gap_to_Fastest,Practice_vs_Quali_Rank,AirTemp,Humidity,Pressure,Rain,WindSpeed,TrackTemp,Is_US,Downforce_Level,Team_aston_martin,Team_ferrari,Team_haas,Team_mclaren,Team_mercedes,Team_rb,Team_red_bull,Team_sauber,Team_williams,Race_Austria,Race_Bahrain,Race_Baku,Race_Belgium,Race_Canada,Race_China,Race_Hungary,Race_Imola,Race_Japan,Race_Miami,Race_Monaco,Race_Monza,Race_Netherlands,Race_Saudi Arabia,Race_Silverstone,Race_Singapore,Race_Spain,Race_United States,GridPos_1.0,GridPos_2.0,GridPos_3.0,GridPos_4.0,GridPos_5.0,GridPos_6.0,GridPos_7.0,GridPos_8.0,GridPos_9.0,GridPos_10.0,GridPos_11.0,GridPos_12.0,GridPos_13.0,GridPos_14.0,GridPos_15.0,GridPos_16.0,GridPos_17.0,GridPos_18.0,GridPos_19.0,GridPos_20.0,Driver_ALB,Driver_ALO,Driver_ANT,Driver_BEA,Driver_BOR,Driver_BOT,Driver_COL,Driver_DOO,Driver_GAS,Driver_HAD,Driver_HAM,Driver_HUL,Driver_LAW,Driver_LEC,Driver_MAG,Driver_NOR,Driver_OCO,Driver_PER,Driver_PIA,Driver_RUS,Driver_SAI,Driver_STR,Driver_TSU,Driver_VER,Driver_ZHO,Year_encoded
0,LEC,ferrari,0.5,United States,2024,93.623,0.021000000000000796,-2.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
1,SAI,ferrari,-0.5,United States,2024,93.602,0.0,-2.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
2,VER,red_bull,-3.5,United States,2024,93.855,0.2530000000000001,1.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
3,NOR,mclaren,-2.0,United States,2024,93.868,0.26599999999999113,3.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
4,PIA,mclaren,2.0,United States,2024,93.908,0.3059999999999974,0.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
5,RUS,mercedes,1.5,United States,2024,94.093,0.49099999999999966,-13.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
6,PER,red_bull,3.5,United States,2024,94.638,1.0360000000000014,7.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
7,HUL,haas,1.5,United States,2024,94.364,0.7620000000000005,0.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
8,LAW,rb,4.5,United States,2024,94.443,0.840999999999994,-6.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
9,COL,williams,0.5,United States,2024,95.248,1.6460000000000008,4.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
