Track,max_speed,speed_range,avg_speed,full_throttle_pct,min_speed,downforce_category
Imola,290.0,243.0,168.1897810218978,45.62043795620438,47.0,Very High DF
Hungary,316.0,253.0,217.93632075471697,55.660377358490564,63.0,Medium DF
Silverstone,317.0,222.0,206.39361702127658,56.73758865248227,95.0,Medium DF
Azerbaijan,317.0,254.0,196.40652818991097,53.70919881305638,63.0,Medium DF
Australia,319.0,246.0,232.85043988269794,66.56891495601172,73.0,Medium DF
Saudi Arabia,320.0,229.0,245.16216216216216,70.94594594594594,91.0,Medium DF
Spain,322.0,249.0,240.64705882352942,70.19607843137254,73.0,Medium DF
Austria,324.0,238.0,243.46407185628743,69.76047904191617,86.0,Medium DF
Monaco,324.0,261.0,214.67625899280574,62.589928057553955,63.0,Medium DF
Canada,329.0,221.0,233.21167883211677,69.34306569343066,108.0,Low DF
Bahrain,331.0,238.0,247.3212121212121,67.87878787878789,93.0,Low DF
Miami,331.0,231.0,232.6089965397924,67.47404844290658,100.0,Low DF
Japan,333.0,277.0,203.13424657534247,54.24657534246575,56.0,Low DF
Singapore,333.0,258.0,207.24788732394367,57.46478873239437,75.0,Low DF
Belgium,335.0,243.0,213.42348754448398,56.58362989323843,92.0,Low DF
China,338.0,272.0,218.6890243902439,52.13414634146341,66.0,Very Low DF
Monza,340.0,270.0,210.5,61.5,70.0,Very Low DF
Netherlands,349.0,274.0,259.6549520766773,75.71884984025559,75.0,Very Low DF
